,name,price,category
0,슬라이스 쪽갈비 400gX4팩,"20,900원",수입돼지고기
1,단골집 T송탄 치즈부대찌개 500g x 4팩+라면사리 1개,"17,400원",즉석국/탕
2,믈레코비타 T 믈레코비타 폴란드 멸균우유 1L x 12개,"23,720원",우유
3,CJ제일제당 T 고메 소바바치킨 소이허니 순살 375g X 5개,"32,900원",기타축산물
4,시나노골드 / 1.5kg / 중과 / 7-9과 (2개 구매시 3kg 합포장),"14,900원",사과
5,허니촉촉 꽃징어 150g x3봉 /2봉 사은품 증정,"22,300원",건오징어/건한치
6,포스트 아몬드후레이크 620gx3 +팝콘그래놀라100g1개랜덤증정,"16,440원",과자/간식
7,|단독판매 15%카드할인| 23/24 비발디파크 락커시즌패스(시즌권+락커),"600,000원",스키
8,동아오츠카 T 라인바싸 탄산수/탄산음료 500ml 2박스 ( 20입+20입 ),"17,500원",탄산수
9,홍이장군 홍이랑튼튼 (30ml28포) (쇼핑백동봉),"59,000원",홍삼
