,menu_list,price_list
0,유린기,"6,600원"
1,송정식 떡갈비,"6,900원"
2,크룽지+페루 찬차마요 드립백 커피,"2,900원"
3,크룽지,"1,900원"
4,빅새치마요,"4,600원"
5,새치마요,"4,000원"
6,한우 함박스테이크&돈까스,"8,900원"
7,한우 함박스테이크&토네이도 소세지,"8,900원"
8,해바라기,"10,000원"
9,매화,"10,500원"
10,진달래,"7,800원"
11,개나리,"8,500원"
12,돈까스도련님고기고기,"6,500원"
13,탕수육도련님고기고기,"6,000원"
14,새치 고기고기,"7,000원"
15,돈치 고기고기,"6,000원"
16,카츠카츠,"4,800원"
17,숯불직화구이,"6,600원"
18,소불고기,"5,500원"
19,메가치킨제육,"7,500원"
20,칠리 찹쌀탕수육도련님,"4,400원"
21,동백,"6,000원"
22,치킨제육,"4,900원"
23,돈까스도련님,"4,800원"
24,제육볶음,"4,500원"
25,돈치스팸,"5,000원"
26,제육 김치찌개 정식,"8,600원"
27,제육 김치 부대찌개 정식,"9,000원"
28,돈치스팸 김치 부대찌개 정식,"9,000원"
29,빅치킨마요 김치 부대찌개 정식,"8,000원"
30,치킨마요 김치 부대찌개 정식,"7,400원"
31,빅치킨마요 김치찌개 정식,"7,500원"
32,치킨마요 김치찌개 정식,"6,900원"
33,메가스팸마요,"5,800원"
34,스팸마요,"3,900원"
35,메가치킨마요,"6,000원"
36,왕치킨마요,"5,000원"
37,빅치킨마요,"4,300원"
38,치킨마요,"3,700원"
39,참치마요,"3,500원"
40,돈치마요,"4,000원"
41,돈까스 카레,"4,700원"
42,잡채볶음밥(중화풍 매운맛),"5,500원"
43,잡채볶음밥(오리지널),"5,300원"
44,스팸 김치볶음밥,"4,700원"
45,김치볶음밥,"3,900원"
46,스팸 철판볶음밥,"4,700원"
47,소불고기 철판볶음밥,"4,900원"
48,나시고랭,"6,200원"
49,묵은지 김치찌개,"4,900원"
50,김치 부대찌개,"6,000원"
51,핫 치즈 닭갈비덮밥,"5,900원"
52,오리지널 치즈 닭갈비덮밥,"5,900원"
53,숯불직화구이 덮밥,"6,000원"
54,마파두부 덮밥,"5,000원"
55,왕카레돈까스덮밥,"6,000원"
56,새우돈까스 덮밥,"4,200원"
57,돈까스 덮밥,"4,100원"
58,아보카도 훈제 닭가슴살 명란 비빔밥,"6,500원"
59,아보카도 소불고기 명란 비빔밥,"6,500원"
60,소불고기 감초고추장 비빔밥,"5,400원"
61,시골제육 두부강된장 비빔밥,"5,200원"
62,참치야채 감초고추장 비빔밥,"3,500원"
63,튼튼도시락,"5,000원"
64,반찬 묵은지김치찌개,"4,400원"
65,반찬 카레,"2,900원"
66,반찬 순살 고등어 간장구이,"3,900원"
67,반찬 김치 부대찌개,"4,900원"
68,반찬 치킨,"3,800원"
69,반찬 고기고기,"3,600원"
70,반찬 돈까스도련님,"4,100원"
71,반찬 제육볶음,"3,500원"
72,반찬 토네이도 소세지,"3,200원"
73,반찬 돈까스,"2,900원"
74,치즈버터 해시 포테이토 스틱,"2,200원"
75,허니버터 해시 포테이토 스틱,"2,200원"
76,해시 포테이토 스틱,"2,000원"
77,뉴 감자고로케,"2,700원"
78,미니 찹쌀핫도그,"2,800원"
79,미니 찹쌀탕수육,"2,200원"
80,케이준후라이,"1,900원"
81,통현미 닭강정(소),"3,500원"
82,통현미 닭강정(중),"8,500원"
83,후라이드 순살(중),"7,500원"
84,후라이드 순살(소)_양념치킨소스,"4,000원"
85,후라이드 순살(소)_케이준소스,"4,000원"
86,3종 미니반찬B,"1,300원"
87,3종 미니반찬A,"1,300원"
88,오징어젓갈,600원
89,한솥 두부강된장소스,"1,800원"
90,한솥 감초볶음고추장소스,500원
91,볶음김치,500원
92,김치,400원
93,무말랭이 무침,500원
94,한솥밥,"1,000원"
95,현미밥,"1,700원"
96,리얼 티라미수 찰떡,"1,700원"
97,리얼꿀 미니호떡,"2,200원"
98,반찬 묵은지김치찌개,"4,400원"
99,반찬 카레,"2,900원"
100,반찬 순살 고등어 간장구이,"3,900원"
101,반찬 김치 부대찌개,"4,900원"
102,반찬 치킨,"3,800원"
103,반찬 고기고기,"3,600원"
104,반찬 돈까스도련님,"4,100원"
105,반찬 제육볶음,"3,500원"
106,반찬 토네이도 소세지,"3,200원"
107,반찬 돈까스,"2,900원"
108,치즈버터 해시 포테이토 스틱,"2,200원"
109,허니버터 해시 포테이토 스틱,"2,200원"
110,해시 포테이토 스틱,"2,000원"
111,뉴 감자고로케,"2,700원"
112,미니 찹쌀핫도그,"2,800원"
113,미니 찹쌀탕수육,"2,200원"
114,케이준후라이,"1,900원"
115,통현미 닭강정(소),"3,500원"
116,통현미 닭강정(중),"8,500원"
117,후라이드 순살(중),"7,500원"
118,후라이드 순살(소)_양념치킨소스,"4,000원"
119,후라이드 순살(소)_케이준소스,"4,000원"
120,3종 미니반찬B,"1,300원"
121,3종 미니반찬A,"1,300원"
122,오징어젓갈,600원
123,한솥 두부강된장소스,"1,800원"
124,한솥 감초볶음고추장소스,500원
125,볶음김치,500원
126,김치,400원
127,무말랭이 무침,500원
128,한솥밥,"1,000원"
129,현미밥,"1,700원"
130,리얼 티라미수 찰떡,"1,700원"
131,리얼꿀 미니호떡,"2,200원"
